Lower layer Super Output Areas Code,Lower layer Super Output Areas,Observation
E01000001,City of London 001A,11363.6
E01000002,City of London 001B,6062.2
E01000003,City of London 001C,27385.4
E01000005,City of London 001E,5801.7
E01000006,Barking and Dagenham 016A,12585.3
E01000007,Barking and Dagenham 015A,14540
E01000008,Barking and Dagenham 015B,9271.7
E01000009,Barking and Dagenham 016B,14104.8
E01000011,Barking and Dagenham 016C,18549.6
E01000012,Barking and Dagenham 015D,16702.3
E01000013,Barking and Dagenham 013A,9003.8
E01000014,Barking and Dagenham 013B,5131.9
E01000015,Barking and Dagenham 009A,8617.2
E01000016,Barking and Dagenham 009B,9310.9
E01000017,Barking and Dagenham 009C,10871.2
E01000018,Barking and Dagenham 009D,10212.8
E01000019,Barking and Dagenham 023A,9044.8
E01000020,Barking and Dagenham 023B,11704.1
E01000021,Barking and Dagenham 008A,9953
E01000022,Barking and Dagenham 008B,11512.1
E01000024,Barking and Dagenham 008D,11547.4
E01000025,Barking and Dagenham 008E,12516.3
E01000027,Barking and Dagenham 001A,1412
E01000028,Barking and Dagenham 001B,12635.6
E01000029,Barking and Dagenham 001C,7080.6
E01000030,Barking and Dagenham 001D,8949
E01000031,Barking and Dagenham 002A,2098.6
E01000032,Barking and Dagenham 002B,5534
E01000033,Barking and Dagenham 006A,10619.4
E01000034,Barking and Dagenham 003A,3066.6
E01000035,Barking and Dagenham 010A,4681.4
E01000036,Barking and Dagenham 010B,3510.9
E01000037,Barking and Dagenham 003B,7270.8
E01000038,Barking and Dagenham 003C,7547.9
E01000039,Barking and Dagenham 003D,1143.8
E01000040,Barking and Dagenham 019A,11007.6
E01000041,Barking and Dagenham 017A,12070.8
E01000042,Barking and Dagenham 017B,8140.1
E01000043,Barking and Dagenham 019B,5769.5
E01000044,Barking and Dagenham 016D,11641.3
E01000045,Barking and Dagenham 017C,5776.1
E01000046,Barking and Dagenham 017D,12578.8
E01000049,Barking and Dagenham 021C,9293.5
E01000050,Barking and Dagenham 019C,13355.1
E01000051,Barking and Dagenham 021D,16621.6
E01000052,Barking and Dagenham 019D,11857.8
E01000053,Barking and Dagenham 020A,8938.6
E01000054,Barking and Dagenham 018A,10928.7
E01000055,Barking and Dagenham 018B,11678.1
E01000056,Barking and Dagenham 018C,6986.9
E01000057,Barking and Dagenham 012A,10494.2
E01000058,Barking and Dagenham 018D,11717.9
E01000059,Barking and Dagenham 013C,8201.4
E01000060,Barking and Dagenham 006B,3964.4
E01000061,Barking and Dagenham 006C,3153.2
E01000062,Barking and Dagenham 006D,10022.6
E01000063,Barking and Dagenham 004A,9812.4
E01000064,Barking and Dagenham 006E,10996.2
E01000065,Barking and Dagenham 007A,8484.6
E01000066,Barking and Dagenham 011A,10204.2
E01000067,Barking and Dagenham 011B,11620.8
E01000068,Barking and Dagenham 016E,5284.1
E01000069,Barking and Dagenham 011C,10453.9
E01000070,Barking and Dagenham 011D,5291
E01000071,Barking and Dagenham 011E,9630.5
E01000072,Barking and Dagenham 017E,4131.1
E01000073,Barking and Dagenham 012B,6493.3
E01000074,Barking and Dagenham 012C,10712.5
E01000075,Barking and Dagenham 012D,4020.1
E01000076,Barking and Dagenham 012E,11331.9
E01000077,Barking and Dagenham 008F,9890.7
E01000078,Barking and Dagenham 007B,10802
E01000079,Barking and Dagenham 009E,5542.6
E01000080,Barking and Dagenham 007C,7682.7
E01000081,Barking and Dagenham 007D,10635.1
E01000082,Barking and Dagenham 007E,11904.2
E01000083,Barking and Dagenham 007F,10667
E01000084,Barking and Dagenham 013D,9586.7
E01000085,Barking and Dagenham 013E,11328.3
E01000086,Barking and Dagenham 013F,10342.6
E01000087,Barking and Dagenham 020B,4390.8
E01000088,Barking and Dagenham 020C,8723.5
E01000089,Barking and Dagenham 020D,12536.1
E01000090,Barking and Dagenham 020E,874.1
E01000091,Barking and Dagenham 022A,8493.1
E01000093,Barking and Dagenham 022B,6157.2
E01000094,Barking and Dagenham 022C,4081.9
E01000095,Barking and Dagenham 018E,982.2
E01000096,Barking and Dagenham 022D,2752.3
E01000097,Barking and Dagenham 023C,10786.8
E01000098,Barking and Dagenham 023D,11037.6
E01000099,Barking and Dagenham 023E,8964.2
E01000100,Barking and Dagenham 004B,9182
E01000101,Barking and Dagenham 004C,10366.1
E01000102,Barking and Dagenham 007G,7057
E01000103,Barking and Dagenham 014A,2528.2
E01000104,Barking and Dagenham 014B,8696.6
E01000105,Barking and Dagenham 014C,10556.8
E01000106,Barking and Dagenham 014D,10059.3
E01000107,Barking and Dagenham 010C,3332.1
E01000108,Barking and Dagenham 010D,7910
E01000110,Barking and Dagenham 002C,8083.2
E01000111,Barking and Dagenham 002D,7265.7
E01000112,Barking and Dagenham 002E,7102.7
E01000113,Barking and Dagenham 002F,12950
E01000114,Barking and Dagenham 004E,9441.8
E01000115,Barnet 009A,5091.2
E01000116,Barnet 009B,7116.6
E01000117,Barnet 010A,5241.5
E01000118,Barnet 010B,7187
E01000119,Barnet 009C,4511.8
E01000120,Barnet 009D,6099.6
E01000121,Barnet 010C,3924
E01000122,Barnet 009E,6404.1
E01000123,Barnet 010D,3341.6
E01000124,Barnet 010E,7301.5
E01000126,Barnet 026A,14080.5
E01000127,Barnet 024B,7761.7
E01000128,Barnet 024C,8302.3
E01000129,Barnet 024D,9336.4
E01000130,Barnet 021A,11325.9
E01000131,Barnet 024E,6013.1
E01000132,Barnet 021B,10534.2
E01000133,Barnet 021C,10572
E01000134,Barnet 024F,11442.9
E01000135,Barnet 038A,5140.6
E01000136,Barnet 038B,2854.9
E01000137,Barnet 041A,13479.7
E01000138,Barnet 040A,6187.4
E01000139,Barnet 041B,3954.4
E01000140,Barnet 041C,13422.5
E01000141,Barnet 039A,5029.7
E01000142,Barnet 040B,11208
E01000143,Barnet 041D,9575.9
E01000144,Barnet 038C,8379.6
E01000145,Barnet 037A,7798.2
E01000146,Barnet 038D,9061
E01000147,Barnet 043F,9456.3
E01000150,Barnet 036A,4852.6
E01000151,Barnet 026B,12102.7
E01000152,Barnet 026C,14564.6
E01000153,Barnet 026D,11690.9
E01000154,Barnet 026E,14216.8
E01000156,Barnet 022A,11255.6
E01000157,Barnet 022B,12565.5
E01000158,Barnet 015A,5414.2
E01000159,Barnet 015B,3620.5
E01000160,Barnet 015C,6462.8
E01000161,Barnet 015D,8387.6
E01000162,Barnet 015E,9045.5
E01000163,Barnet 022C,8834.9
E01000164,Barnet 022D,3129.2
E01000165,Barnet 022E,9784
E01000166,Barnet 003A,4381.9
E01000167,Barnet 002A,2308.1
E01000168,Barnet 003B,4829.6
E01000169,Barnet 003C,6838.6
E01000170,Barnet 006A,6428.3
E01000171,Barnet 006B,6873.9
E01000172,Barnet 003D,3107.8
E01000173,Barnet 006C,4621.3
E01000174,Barnet 006D,9336.5
E01000175,Barnet 006E,4055.5
E01000176,Barnet 027A,7834.4
E01000177,Barnet 029A,9840.2
E01000178,Barnet 027B,4005.3
E01000179,Barnet 029B,12475.6
E01000180,Barnet 029C,9466.9
E01000181,Barnet 029D,11787.7
E01000182,Barnet 029E,7385.9
E01000183,Barnet 033A,6580.2
E01000184,Barnet 027C,2730.3
E01000185,Barnet 029F,11925.6
E01000186,Barnet 014A,6947.8
E01000187,Barnet 014B,8052.9
E01000188,Barnet 014C,494.8
E01000189,Barnet 014D,15240.7
E01000190,Barnet 014E,6974.2
E01000191,Barnet 014F,6091.2
E01000192,Barnet 018A,7031.7
E01000193,Barnet 018B,6410
E01000194,Barnet 018C,5734.1
E01000195,Barnet 013A,6405.5
E01000196,Barnet 028A,8641.2
E01000197,Barnet 023A,6682.3
E01000198,Barnet 025A,6659.6
E01000199,Barnet 025B,4673.2
