feature,importance
median_prob_day_minus_7,0.66787773
median_prob_day_minus_3,0.06419798
median_prob_day_minus_2,0.055960406
median_prob_day_minus_4,0.038839985
median_prob_day_minus_5,0.03662301
median_prob_day_minus_1,0.01866644
control_gc_l_mean_day_minus_7,0.009563228
sample_ph_pre_ansis_day_minus_7,0.008324436
catch_cis_population_day_minus_7,0.0066127665
median_prob_day_minus_6,0.0064601703
reception_delay_day_minus_4,0.0049625807
catch_in_cis_prop_day_minus_7,0.0048206574
catchment_population_ons_mid_2019_day_minus_7,0.004616676
reception_delay_day_minus_2,0.0041710073
sars_cov2_gc_l_mean_day_minus_1,0.0034370674
sars_cov2_gc_l_mean_day_minus_3,0.0025846844
reception_delay_day_minus_3,0.0020666772
catchment_area_day_minus_7,0.0019327971
raw_ansis_sars_repc_std_day_minus_6,0.0018416564
catchment_area_day_minus_4,0.0018331732
catch_in_cis_prop_day_minus_4,0.0016295973
ammonia_mg_l_day_minus_7,0.0016259648
reception_delay_day_minus_7,0.0015915666
reception_delay_day_minus_1,0.0015881789
catchment_population_ons_mid_2019_day_minus_2,0.0015270013
sars_below_lod_day_minus_6,0.0014924153
catch_in_cis_prop_day_minus_6,0.0014093171
reception_delay_day_minus_6,0.001379862
catch_in_cis_prop_day_minus_2,0.0012900089
sars_cov2_gc_l_mean_day_minus_5,0.0012706725
sars_below_loq_day_minus_3,0.001216581
catchment_population_ons_mid_2019_day_minus_6,0.0012157254
ammonia_mg_l_day_minus_6,0.001211912
suspended_solids_mg_l_day_minus_7,0.0011030365
sars_cov2_gc_l_mean_day_minus_7,0.0010737173
control_gc_l_mean_day_minus_1,0.00090617297
sars_cov2_gc_l_mean_day_minus_6,0.0008768861
ammonia_mg_l_day_minus_5,0.0008618067
suspended_solids_mg_l_day_minus_2,0.00085210695
suspended_solids_mg_l_day_minus_4,0.00084144174
suspended_solids_mg_l_day_minus_1,0.0008370363
ophosph_mg_l_day_minus_7,0.0008208061
sars_cov2_gc_l_mean_day_minus_2,0.0008119567
sars_cov2_gc_l_mean_day_minus_4,0.00080804783
sample_ph_pre_ansis_day_minus_5,0.0007917091
sample_ph_pre_ansis_day_minus_2,0.000760262
ophosph_mg_l_day_minus_1,0.00074653677
ophosph_mg_l_day_minus_3,0.00074185187
catchment_population_ons_mid_2019_day_minus_4,0.00073761947
raw_ansis_sars_repc_std_day_minus_2,0.00069775037
ophosph_mg_l_day_minus_6,0.0006856685
raw_ansis_sars_repc_std_day_minus_4,0.00068358926
ammonia_mg_l_day_minus_4,0.00065025204
catch_cis_population_day_minus_6,0.00063062285
catch_in_cis_prop_day_minus_3,0.0006137218
control_gc_l_mean_day_minus_6,0.00061305455
ammonia_mg_l_day_minus_2,0.0006092927
suspended_solids_mg_l_day_minus_6,0.0006087441
sars_below_lod_day_minus_4,0.00060871855
catch_cis_population_day_minus_2,0.00059243303
sample_ph_pre_ansis_day_minus_1,0.0005872788
ammonia_mg_l_day_minus_3,0.00057410053
grab_compo_boo_day_minus_2,0.0005711504
raw_ansis_sars_repc_std_day_minus_7,0.00056973856
catchment_population_ons_mid_2019_day_minus_5,0.0005452931
sars_below_loq_day_minus_7,0.0005410209
sample_ph_pre_ansis_day_minus_3,0.000499077
grab_compo_boo_day_minus_6,0.0004662985
ammonia_mg_l_day_minus_1,0.00046539423
raw_ansis_sars_repc_std_day_minus_5,0.00044780513
catchment_population_ons_mid_2019_day_minus_1,0.00044099358
catchment_area_day_minus_2,0.0004164369
catch_cis_population_day_minus_3,0.00040665964
reception_delay_day_minus_5,0.00040649602
raw_ansis_sars_repc_std_day_minus_3,0.00040454595
catchment_area_day_minus_3,0.00040418323
catch_cis_population_day_minus_4,0.00038077665
ophosph_mg_l_day_minus_2,0.00037366108
ophosph_mg_l_day_minus_5,0.00037306125
suspended_solids_mg_l_day_minus_5,0.00037016458
ophosph_mg_l_day_minus_4,0.0003614615
grab_compo_boo_day_minus_7,0.00035922264
sars_below_loq_day_minus_2,0.0003520505
catch_cis_population_day_minus_5,0.00035020165
sample_ph_pre_ansis_day_minus_4,0.00031203622
suspended_solids_mg_l_day_minus_3,0.00030720513
sars_below_loq_day_minus_5,0.0002928039
catch_in_cis_prop_day_minus_5,0.00029259984
catchment_population_ons_mid_2019_day_minus_3,0.00029183185
control_gc_l_mean_day_minus_3,0.00027001902
grab_compo_boo_day_minus_3,0.00026125013
raw_ansis_sars_repc_std_day_minus_1,0.0002392294
sars_below_loq_day_minus_6,0.00023020474
catch_in_cis_prop_day_minus_1,0.00021321447
sars_below_lod_day_minus_5,0.0001982209
grab_compo_boo_day_minus_1,0.00019654141
control_gc_l_mean_day_minus_5,0.00019539967
control_gc_l_mean_day_minus_2,0.00018990626
sars_below_lod_day_minus_7,0.00018637789
sars_below_loq_day_minus_1,0.00018234352
sars_below_lod_day_minus_2,0.00016133436
sars_below_lod_day_minus_3,0.00015493282
control_gc_l_mean_day_minus_4,0.00015132903
catchment_area_day_minus_5,0.00015061673
catch_cis_population_day_minus_1,0.00014583605
catchment_area_day_minus_1,9.468959e-05
catchment_area_day_minus_6,7.848751e-05
sample_ph_pre_ansis_day_minus_6,6.6802226e-05
grab_compo_boo_day_minus_5,6.288313e-05
sars_below_lod_day_minus_1,0.0
sars_below_loq_day_minus_4,0.0
grab_compo_boo_day_minus_4,0.0
data_available_day_minus_1,0.0
data_available_day_minus_2,0.0
data_available_day_minus_3,0.0
data_available_day_minus_4,0.0
data_available_day_minus_5,0.0
data_available_day_minus_6,0.0
data_available_day_minus_7,0.0
