feature,importance
infection_rate_max_7d,0.47899336
infection_rate_mean_7d,0.37714955
infection_rate_median_7d,0.102118835
infection_rate_trend_7d,0.007353861
median_prob_day_minus_2,0.005158791
infection_rate_min_7d,0.0026093298
sars_below_loq_day_minus_1,0.0016782796
infection_rate_recent_3d_mean,0.001526062
catchment_area_day_minus_4,0.001367791
median_prob_day_minus_7,0.0011489465
median_prob_day_minus_1,0.0010309573
sars_below_lod_day_minus_6,0.00071746274
median_prob_day_minus_3,0.0006534755
catch_cis_population_day_minus_3,0.000653277
infection_rate_data_ratio_7d,0.00059973553
median_prob_day_minus_4,0.00052408414
catchment_area_day_minus_6,0.0005192169
control_gc_l_mean_day_minus_1,0.00045920486
ammonia_mg_l_day_minus_6,0.0004252756
sars_cov2_gc_l_mean_day_minus_6,0.00036407184
ophosph_mg_l_day_minus_6,0.00033825586
infection_rate_std_7d,0.0003300051
sars_cov2_gc_l_mean_day_minus_2,0.00030663927
median_prob_day_minus_6,0.00030265722
catchment_area_day_minus_3,0.00029880475
socio_Ethnic_Diversity_Index,0.00028950008
sars_below_loq_day_minus_6,0.00026927446
grab_compo_boo_day_minus_2,0.00026393918
socio_Population_Density,0.0002572208
raw_ansis_sars_repc_std_day_minus_6,0.0002560257
raw_ansis_sars_repc_std_day_minus_4,0.00025382751
sars_cov2_gc_l_mean_day_minus_1,0.00024301998
ophosph_mg_l_day_minus_1,0.00024185957
ophosph_mg_l_day_minus_4,0.00024111525
sample_ph_pre_ansis_day_minus_4,0.00023919373
control_gc_l_mean_day_minus_3,0.0002339259
median_prob_day_minus_5,0.00022979984
catchment_population_ons_mid_2019_day_minus_6,0.00022525589
sars_below_loq_day_minus_5,0.00021472365
catch_in_cis_prop_day_minus_4,0.00021209539
reception_delay_day_minus_6,0.00021196884
sars_cov2_gc_l_mean_day_minus_4,0.00021072947
suspended_solids_mg_l_day_minus_6,0.00020983852
sars_cov2_gc_l_mean_day_minus_5,0.00020520508
sars_below_loq_day_minus_7,0.00020509145
ammonia_mg_l_day_minus_4,0.00020349465
control_gc_l_mean_day_minus_5,0.0002013892
raw_ansis_sars_repc_std_day_minus_2,0.00019893027
catchment_population_ons_mid_2019_day_minus_2,0.00019255454
